,tweets,ano
0,"Eu também pretendo abordar de forma diferente nos workshops que fazemos no trabalho, eu odeio ver o pessoal tratando racismo como bullying",2018
1,li um texto tão triste de uma bolsista prouni de medicina. o bullying com pobre é real até em federal e em outros cursos. no meu 1o semestre de engenharia química um grupo (de pessoas da zona sul) com o qual fazia trabalho resolveu me excluir do nd pq não queriam mais contato cmg,2018
2,"Leo colocou pão dentro da minha calça, até no trabalho eu sofro bullying",2018
3,"Tentei me afastar na adolescência e foi sofrido. Foram anos infelizes. Eu tinha vergonha de gostar dessas coisas, sofria muito bullying principalmente da família. E as vezes até fico dias sem ver nada por rotina ou trabalho, mas largar meses? Não aguento, morro de saudades.",2018
4,to lendo uma fic q o jooheon faz bullying todo santo dia c o minhyuk dai numa festa ele quase implora por um beijo do minhyuk (q dá pq do NADA o medo dele se transforma em tesao) e ai no dia seguinte o professor coloca eles pra fazer um trabalho juntos ㅋㅋㅋ,2018
5,"Desde pequeno trabalhando igual um escravo, só tinha minha mãe e minha irmã  ao meu lado, nunca ganhei nada, smp trabalhei pra ter minhas coisas, fui o homem de casa aos 14 anos, nunca deixei faltar nada pra minha família. Sofri bullying tanto na escola quanto no trabalho.",2018
6,estou sofrendo bullying no trabalho,2018
7,Sofrendo bullying no trabalho por comer saudável,2018
8,vou fazer 20 e ainda sou kpopper serase vou sofrer bullying no trabalho?,2018
9,"Objetivo: Defenda alguém que está sofrendo bullying na escola ou no trabalho. Lembre a si mesmo e aos outros do quanto as palavras podem ser poderosas. E quando estiver falando com outras pessoas, escolha as palavras com cuidado.",2018
10,"Sei lá, depois que eu fui denunciada por bullying pela minha colega de trabalho nada mais faz sentido",2018
11,"O resto da matéria é igualmente absurdo. Ele fala que tem uma galera muito sensível que fica se vitimizando e fala muita groselha sobre bullying.  Sorte que esse sr não escreve mais nada, o trabalho é de roteiristas que têm uma visão um pouco menos torta da sociedade.",2018
12,"espero realmente que você reveja esse seu tweet. Soou uma mensagem bem infantil e indelicada. Qual o problema de gostar da própria imagem? Ruim é ficar praticando bullying, não se aceitar... Gosto do seu trabalho, mas achei essa mensagem grosseira.",2018
13,"Pior que eu vejo bastante relato de gente que ostraciza o outro porque ele é gay. Do tipo de ignorar no trabalho ou mesmo fazer bullying na escola. Tem muito gente que é tipo “o que você faz em quatro paredes não me importa”, mas tem sempre ~aquele grupo~",2018
14,"a monica então, ela sempre foi desprezada pelos pais, superou a obesidade e o bullying, tem que lidar com seu TOC, se dedicou demais ao trabalho e sempre cresceu por mérito próprio, sempre foi independente, forte e madura mas também maternal e sonhadora, ícone!!!",2018
15,sofrendo bullying no trabalho pois colocaram varias camisinhas na minha mesa,2018
16,"Lembram quando eu disse que sofria bullying no trabalho por usar demais o bloco de notas? Pois bem, o meu anjo da vida e colega de trabalho @jessic_aaa me presentou neste Natal com essa linda camiseta exclusiva ❤️",2018
17,Eu sofro bullying no trabalho por ser a única que não tem,2018
18,sofrendo bullying no trabalho pq to de ressaca,2018
19,"Minha colega de trabalho fez uma ouvidoria contra mim, porque aparentemente eu faço bullying com ela",2018
20,"Bullying não é brincadeira! E Paul McCartney se engajou na campanha contra esse tipo de comportamento. O ex-Beatle se juntou à atriz Emma Stone no vídeo de sua nova música de trabalho, ""Who Cares"", para fazer um alerta.   Confira o vídeo: https://www.youtube.com/watch?v=7WOb6ePqjIE",2018
21,Aqui no trabalho essas estrelinhas renderam até um bullying.....,2018
22,Sofro bullying pela altura até no trabalho,2018
23,"Nunca tinha ouvido falar nessa garota, esse nome é “ artístico “ ou é seu nome legal? Se for legal, ela precisa processar os pais pq pqp só o nome dela já é bullying. A Kefede precisa arrumar um trabalho de verdade e parar de mi mi mim.",2018
24,"Recebi agora o livro ""Bullying, a consciência é a melhor forma de previnir"". PARABENIZO a autora Juliana Munaretti de Oliveira Barbieri pelo excelente trabalho. Obrigado! https://www.instagram.com/p/BriZhzag6Vu/ https://www.facebook.com/pastorronaldoviana/posts/2249026205117200",2018
25,"Olhaa nem nas férias vocês param de me fazer bullying, não aprenderam nada com o trabalho que fizemos para português, agora vou chorar o resto da noite !!",2018
26,Toda S/N : -Sofre bullying por ser feia. -Os pais morrem em acidente de carro ou se muda para a Coréia por causa de trabalho deles -pais. -Não gostava do cara mais popular da escola e namora ele depois de 2 meses. #tiposdefic S/N se tu não gosta da tua vida...dá pra mim.,2018
27,"Eu estudei por dez anos. Não quis apresentar um trabalho valendo a última nota porque tinha que falar em público e tal e eu não queria   me expor já que sofria um bullying danado. Resultado: fiquei de final. A professora passou o mesmo trabalho, só que dessa vez só escrito. Ufa!",2018
28,"minhas colegas tão fazendo bullying cmg no trabalho, me chamando de Shakira loca 😤",2018
29,Faltou pedir desculpas por não ter feito o trabalho de pesquisa antes e por ofender a vítima atingida pelo bullying.,2018
30,Há um novo tipo de bullying que assola os profissionais gestores de projetos e serviços: o bullying esferográfico gravitacional. Fique atento. Se você está em uma reunião ou em uma sessão de trabalho e as... https://www.facebook.com/elcio.goncalves.902/posts/2370899202982725,2018
31,o maior bullying foi minha mãe pedir se o departamento que eu trabalho vai fazer amigo secreto,2018
32,Sofri bullying de proletarios pq perguntei quantas vezes pode falta no trabalho tipo quantos % de presença precisa ter e oh boy...,2018
33,"Galera posso pedir uma coisa a vocês ? NUNCA façam bullying com o corpo das pessoas SERIO! Eu trabalho diretamente ligada com o público (DIVERSO) e tem um cliente que é um amor em pessoas,e ele está a cima do peso,já tentou emagrecer mas não consegue (psicológico abalado)",2018
34,"Você pode ver até a Globo tentando polemizar e se dando mal quando se fala nessas questão de humilhação no trabalho. Até homem se ferra la, eu mesmo sofri bullying na escola por ser um fraco. Agora, na rua, você vê homens olhando mulheres e mulheres olhando homens",2018
35,"Eu trabalho num lar e muitas vezes penso como serei com 85 anos num lar a serio, imaginem eu no quarto a jogar gta 20 na ps40 a ouvir eminem e a fazer bullying com os outros velhos",2018
36,"Falaram de diversos assuntos, como o empoderamento feminino, racismo, bullying, homofobia ♡  E falando em esmurro um dos integrantes desse trabalho se homofobia era bolsominion, só que ele não conseguiu trocar de grupo pois os grupos tavam certinhos, ele se recusou a falar bicho",2018
37,"hoje vi uma menina que praticava bullying comigo no segundo ano do ensino médio, eu estava no trabalho e ela simplesmente chegou para comprar ração. assim que olhei pra ela meu corpo todo ficou mole, minha maior vontade era a de entrar no banheiro e chorar.",2018
38,Sofrendo bullying no trabalho por preferir panetone do que chocotone kkkkkkkkkkk,2018
39,"#educacaodomal  Esses VAGABUNDOS (a), trajados de gestores e até de professores, que usam crianças para manipular o Ideb, praticam assédio moral  com colegas de trabalho e bullying com alunos de 3 anos até os... https://www.facebook.com/wellingtonmacedos/videos/981247005418301/",2018
40,"#educacaodomal  Esses VAGABUNDOS (a), trajados de gestores e até de professores, que usam crianças para manipular o Ideb, praticam assédio moral  com colegas de trabalho e bullying com… https://www.instagram.com/p/BrRT7QIgZQl/?utm_source=ig_twitter_share&igshid=nx4rchmh2n5m",2018
41,O bullying existe até no trabalho kkkkk #TercaDetremuraSDV,2018
42,sofro bullying no trabalho por nunca ter assistido,2018
43,"Eu queria mt dar os parabens para as pessoas q fizeram bullying cmg,fizeram um ótimo trabalho,acabaram com o meu psicológico e me tornaram uma pessoa crua por fora e q sente mt coisa por dentro,ms ñ consegue demonstrar na maioria das vezes",2018
44,Meu pai tá sofrendo bullying dos amigos do trabalho pq a minha madrasta tá fazendo ele tomar suco detox  Kkkkkkkkkkkkkkkkkkkkkkk,2018
45,"Eu fico puta da cara Pq ainda tem pais q ensinam os filhos a terem preconceito. E isto vem d bem cedo,independente da ideologia q gostam tanto d falar,professores estão la p defenderem alunos q sofrem bullying tbm. E o trabalho deles é gigante perante as famílias ausentes.",2018
46,"Eu sofro bullying no trabalho por ser baixinha demais, triste",2018
47,-nossa eu amo comer -sério? não parece  todo dia um bullying diferente no trabalho kkkkkkkjk,2018
48,"Cheguei ao ponto da minha vida de sofrer bullying por às vezes usar um português ""requintado"" (por causa do costume da escrita no trabalho) em conversas informais nos grupos do whatsapp",2018
49,"Sofro bullying no trabalho pq todo mundo sempre recebe os cupons de desconto no almoço do @iFood menos euzinha, cliente fiel. Queria saber o preconceito 💔",2018
50,sofrendo bullying no trabalho por não namorar e ir sozinha na festa da empresa,2018
51,"Tive q fazer um trabalho, q a gente criou um jogo sobre convivência e pá, e jogamos com o quinto ano. Aí uma das perguntas do jogo do meu grupo era “oq vc faz se vê seu amigo sofrendo bullying?” Aí uma menina respondeu “Eu n faço nada, não gosto de criança, só gosto de mim” HAHAH",2018
52,São Tiago adora praticar bullying com os alunos  ficam fazendo nós apresentar trabalho pra outras turmas baaaaah,2018
53,"ser a mais nova da tua equipe de trabalho é só Deus na causa, cada dia é um bullying novo tl",2018
54,Eu sofrendo bullying pq durmo no trabalho,2018
