,tweets,ano
0,"Vim a casa de uma amiga fazer o trabalho, tao me a fazer gnd bullying fse😢",2016
1,"Nois já sofre bullying no mercado de trabalho por ser jovem e sem experiência, aí o bglh do agendamento nunca tem vaga pra fazer a carteira.",2016
2,Terminei o trabalho do bullying hehe,2016
3,"ODEIA E FAZ VC SOFRER COM TRABALHO ESCRAVO E A ESCOLA TE FAZZ BULLYING AO MAXIMO AO PONTO DOS DIRETORES E PROFESSORES TE ODIAREM, POTTER?",2016
4,"Depois de ser acusado injustamente de praticar bullying, indo para o trabalho ouvindo @miltonjung no @jornaldacbn  🎵ouvindo Milton Jung 🎶!!",2016
5,O Bullying começa quando seu nome é o último no trabalho feito em grupo. - um-vampiro-rockeiro: https://tmblr.co/ZYYivl2GJY3Mj,2016
6,"Se eu acho que sofro bullying no trabalho, agora vendo a @RenataBFan tô vendo o que é bullying de verdade.",2016
7,tava falando ontem de bullying com o pessoal do trabalho e falando q bati em um cara ponto alto do energia ❤️,2016
8,"Tem uma menina que sofre muito bullying no trabalho e eu tenho mo dó, defendo e tal. Ai hj ela perguntando o que tinha p fazer no ano novo",2016
9,Ta praticando bullying no trabalho dona @leticiacgds hauhauhauahuaha https://nitter.catsarch.com/leticiacgds/status/811223283706265601,2016
10,"Estão me chamando de ""garota radical"" no trabalho pq eu disse que peguei a época de Cine  O famoso bullying",2016
11,"No último dia de trabalho no ano vc deseja Feliz Natal, Ano Novo e ""JUÍZO"" para a galera e eles respondem: olha quem está falando..#bullying",2016
12,"BERROOOOOOOOOOOO Miga, tu ta trabalhando com bullying né? ou seria eu? Eu pratico bullying não, só trabalho com fatos comprovados kkkkkk",2016
13,"sofreu bullying na escola, cresceu e começou a sofrer no ambiente de trabalho, ela não tem que se sujeitar a nada, é forte, tenho orgulho",2016
14,"Não tem aquele casos de família ""Sofro bullying por ser bonita""? Eu sofro bullying pq faço meu trabalho rápido e bom. 😪",2016
15,"Ei @dmaepoa tô sofrendo bullying no trabalho por ir sem tomar banho. Resolve o problema no Humaitá! Pfvr, nunca te pedi nada!",2016
16,Bullying no trabalho. Um antídoto para a falta de educação fb.me/1A3dLbV2a,2016
17,Bullying no trabalho. Um antídoto para a falta de educação  https://www.dinheirovivo.pt/carreiras/um-antidoto-para-a-falta-de-educacao/?utm_campaign=Echobox&utm_content=JornaldeNoticias&utm_medium=Social&utm_source=Facebook#link_time=148217151,2016
