,tweets,ano
64,junte um nome desses com colegas de trabalho exu sem luz e temos o maior interminável bullying de todos os tempos.,2015
65,"tem um menino daqui q é manco, no trabalho de violência de sociologia falaram sobre o bullying e no final colocaram a foto desse menino e+",2015
66,nem sete horas da manhã e eu sofrendo bullying no trabalho por ter meia duzia de pelos no rosto no lugar da barba,2015
67,Era pra ser um trabalho sobre o bullying mas acabou virando uma zuera 😂😂😂👌🏻,2015
68,Saiba como agir caso você seja vítima de bullying no trabalho - shrd.by/lGWgQL,2015
69,@oserginho bullying isso não é brincadeira. Em #SC é lei. É crime. Setor pedagógico nas escolas funciona com trabalho sério. Dá certo.,2015
70,"ironia de hj foi, eu, brites e orelha apresentar trabalho sobre bullying qnd nós que fazemos mais bullying na sala",2015
71,Assédio Moral no Trabalho e Bullying Escolar: Lei 13.185/2015. Por Gustavo Filipe Barbosa Garcia​: goo.gl/hQeZ1S,2015
72,Assédio Moral no Trabalho e Bullying Escolar: Lei 13.185/2015. Por Gustavo Filipe Barbosa Garcia​: goo.gl/hQeZ1S,2015
73,Metade dos jovens brasileiros sofre bullying no trabalho ln.is/com.br/zTDt0,2015
74,@ShareThis  O trabalho realizado nas escolas de política de enfrentamento ao bullying é constante. Parabéns a todos os profissionais!,2015
75,Como reconhecer o bullying no ambiente de trabalho e acabar com o problema ar.krypton.com.br/noticias/n…,2015
76,Pessoa deve ter sofrido bullying na escola e agora acha que no trabalho pode tentar fazer bullying com os outros... 😒,2015
77,"Se você trabalha sério o resultado é bullying. O trabalho é considerado desnecessário, o importante são fotos. Estou muito mal.",2015
78,Trabalho na empresa: praticar bullying c o Bianno,2015
79,"Assédio moral ou bullying no trabalho, você é vítima?? deficienteciente.com.br/2011…",2015
80,Luiza's Blog: BULLYING NO TRABALHO: O QUE É E O QUE FAZER PARA R... luizabrito67.blogspot.com/20…,2015
81,Assédio Moral no Trabalho e Bullying Escolar: Lei 13.185/2015 gustavogarcia.adv.br/assedio…,2015
82,Luiza's Blog: BULLYING NO TRABALHO: O QUE É E O QUE FAZER PARA R... luizabrito67.blogspot.com/20…,2015
83,Emocionei bastante gente com o trabalho sobre o Bullying,2015
84,Ir pro trabalho com as flash tattoo do fim de semana. Ja sinto o bullying desde ja,2015
85,Bullying no local de trabalho 😂,2015
86,"@Kefera olha hoje na escola, exposições sobre trabalho de bullying, e não fui eu que fiz ...❤️ detalhe na demi Tbm",2015
87,"Comendo ""escondida"" pq sofro bullying no meu trabalho kkkkk",2015
88,Dou ganda bullying aos meus colegas de trabalho AHAHAHAH vocês nem imaginam,2015
89,"49,52% dos jovens revelam sofrer #bullying em seu trabalho ow.ly/UjkVw",2015
90,amanha vou fazer bullying demais no trabalho ahahahahgha,2015
91,"Parabéns @araquelsales! Obg por fazeres bullying à Ana, ela bem precisa. Continuação de um bom trabalho and have a great day!",2015
92,"sofro bullying no trabalho pq falam que só penso em comer, gente ceis quer que eu pense no que??",2015
