,tweets,ano
0,Hj lá no trabalho foi uma filhote de American Bully ❤,2016
1,A vitoria de trump simboliza tao mais que uma simples vitoria. Mostra que o bully que insulta tudo e todos ganha contra trabalho e esforco,2016
2,"Obviamente não vou encerrar esta conta de Twitter. Trump ganhou uma eleição. Meu trabalho segue, não me dobro a bullies e turma da ""zoeira""",2016
3,"Eu to sofrendo bully no trabalho, pq eu me droguei com xarope...",2016
4,Sofro bully no trabalho por ser paulista /:,2016
5,"Todos já passamos por isto. Todos já tivemos pelo menos um bully na nossa vida. Em casa, na escola, no trabalho,... fb.me/OrA9neYE",2016
6,O último trabalho de #Bully no #Playstation 4 é detonado: lawn mowing (house) youtu.be/idRUcBp1UGE?a,2016
7,"Seguimos os detonados de #Bully. Desta vez, mostramos o do trabalho de cortar grama do parque youtu.be/KFctvqwHoYc?a",2016
8,Acabou de sair novo episódio de BULLY !!! Parece que vamos ter uma amiga nova que nos vai dar trabalho. Bora ver <3 https://youtu.be/NNh2Q84CBQ0,2016
9,"qnd tinha 15, fiz um guri humilhar uma menina do grupo do bully em troca de um trabalho em grupo. Ela apaixonada por ele.",2016
10,bora começar um trabalho de tradução para o video de bully,2016
11,"A stora de português disse para o trabalho do meu grupo fo auto da barca do inferno ser sobre o judeu por causa dos cacas, bully do crl",2016
12,lidar com esse bully no trabalho é tão  normal mas tem dias q da vontade de sentar em um canto e chorar. meu coração está pesado,2016
13,"dear bully eu não preciso dizer nada, existe algo chamado karma que nunca se esquece de fazer seu trabalho",2016
14,dear bully se tem uma coisa que to agora eh de boa procura outro trabalho vc nao conseguiu hehehhehe,2016
15,@birdmad a capa desse é ben gay e eu sofro bully no trabalho (esse título e o livro é rosa)hmmmmmmm,2016
16,@PobreElitizada @jefferraro @Dri_Caldeira trabalho bem feito contra bullies que há anos vem causando cancer (epa) nessa rede social,2016
17,"@BRKsEDU Tu é mito :D  seu fã desde game play de Bully, The Last of Us,  Gta V e Until Dawn Parabéns pelo trabalho :)",2016
18,"@HONG95JISOO @95FUCOUPS Só estou fazendo o meu trabalho de bully aqui, senhor. q",2016
19,"saindo do trabalho agora, niver do bully.. vms tomar um gelo",2016
20,"ser vítima de bully no trabalho e chegar em casa sem notificação.  que dia, amigos",2016
