,tweets,ano
0,"@Gabpaiva_ isso é bullying sabia? Não pode ameaçar ou chantagear uma pessoa por ela ser pobre, sem emprego 😭😭😭😭😭",2015
1,"@MelissaTamye E não mudou muito até hoje. Criança introvertida sofre bullying na escola, o adulto é mal visto no emprego. É difícil.",2015
2,"""Ai meu filho sofre bullying meu deus"". Pronto. Tai uma geração de derrotados q no primeiro esporro no emprego vai chorar",2015
3,"Sabia que a Lea ia ter alguma coisa importante,só o Ryan dá emprego pra ela mesmo,sofre Bullying de Hollywood em si haha #ScreamQueensFinale",2015
4,"bullying e preconceito, só porque ele tinha acabado de acordar e comprou uma carotinha o cara tava lá oferecendo emprego",2015
5,tava na delegacia hoje e um cara entrou lá pra fazer um B.O. porque  um cara ofereceu um emprego pra ele e isso seria bullying,2015
6,"Tudo errado. ""@o_colecionador: A invenção do conceito de ""bullying"" garantirá o emprego de psicólogos e muita verba para ONGs. Anotem.""",2015
7,"A invenção do conceito de ""bullying"" garantirá o emprego de psicólogos e muita verba para ONGs.  Anotem.",2015
8,@leftnevermore só isso que você sabe fazer?  Bullying com os outros?  Que emprego inútil...,2015
9,@badgabri @pinkishmermaid eu até hoje não sei se tenho dó ou raiva do marido dela. Teve que pedir demissão por conta do BULLYING no emprego,2015
10,@pqpvial @yokugekin @_GuiiR saksopakskask vamo parar com a liga de bullying contra a xeo senão o guii perde o emprego dele e vira (+) inutil,2015
11,"Ah pára! Quer dizer que hetero tá sendo espancado na rua, linchado, perdendo emprego, sofrendo bullying só por... fb.me/AlTF1jWq",2015
12,@wtenshi  É a história de um teen panda que a mãe faz bullying pq ele é vagabundo. Aí ele vai fazer gorogoro fora de casa e ou achar emprego,2015
13,🎬 Brincadeiras inconvenientes e abuso de poder atrapalham o rendimento no #trabalho ow.ly/Tx5Ld #bullying #emprego #conflito,2015
14,N acredito q esse praticador de bullying tem um emprego e eu n EU VOTEI NO AECIO ABSURDO EU ☆ A MERCE DESSA SITUAÇÃO https://nitter.catsarch.com/lrafaldini/status/643801387709661185,2015
15,"@dangli_ @brozx @bebtch a pessoa magra vai sofrer bullying por algumas pessoas, gente gorda é toda hora, nas tvs, na busca por emprego etc",2015
16,"a vida se baseia em sofrer bullying, estudar, conseguir um emprego medíocre e morrer",2015
17,"Porque vocês vivem mandando eu arruma um emprego ? Para gente, isso é bullying. 😒👊",2015
18,"Bullying no ambiente de trabalho, e agora? zip.net/bgrNN2 | #Bullying #Trabalho #Emprego",2015
19,O moço que fazia bullying com o pequeno Gabu acabou de chamar no Facebook para falar sobre vaga de emprego. O MUNDO É ÓTIMO. 😂,2015
20,"o boy que praticava bullying comigo veio pedir uma ajuda para conseguir emprego... gosto das voltas da vida, viu?",2015
21,@hahatommo eeeeeh vc vai pagar? pq eu sou pobre e tenho sotaque baiano vou sofrer bullying e não vou ter emprego,2015
22,"Não ingresso no Youtube por causa das consequencias como: bullying de todos meus colegas, largar faculdade, emprego nao fixo. #asklangers",2015
23,@DREWXAVECAO @EXFLOP Laura Green diz ter abandonado a faculdade após sofrer bullying e que busca por emprego nunca trouxe resultado; ...,2015
24,"RT Laura Green diz ter abandonado a faculdade após sofrer bullying e que busca por emprego nunca trouxe resultado; agora, conta ""estar vive…",2015
25,"Dai vc arruma um emprego, tem q levar marmita, ja nao vasta o bullying de carregar marmita, sua mae te da uma... fb.me/7lbkYnIqf",2015
26,"@HeelIgor problemas na sociedade como o bullying, a perda de emprego, depressões, serem julgados a passar na rua, coisas que têm de parar",2015
27,minha faculdade é uma gloria: me deixa cansada e estressada e no final ainda vou sofrer bullying pra conseguir emprego,2015
28,"@gamaleth nunca foram seguidas no shopping , nunca perderam oportunidade de emprego por ser negra , nunca sofreram um bullying na escola",2015
29,Bullying na adolescência associado à depressão na idade adulta: O bullying na adolescência está… dlvr.it/B7r5mw #Notícias #emprego,2015
30,"O carinha da sala q zoava todo mundo, não estudava, nem tinha futuro, mas praticava bullying nojento, conseguiu um emprego. @DaniloGentili",2015
31,"To achando que é bullying comigo pq ninguém me dá emprego, to bem triste",2015
32,sofrendo bullying por não ter emprego,2015
33,O bullying é algo sem fim nesse emprego.,2015
34,"(Noticias ao minuto) Quis dar uma lição sobre bullying, acabou sem emprego bit.ly/1ESkK2s",2015
35,"Quis dar uma lição sobre bullying, acabou sem emprego bit.ly/1GUih9k #mundo",2015
36,"Quase 3 semanas no novo emprego e já sofro bullying, uma sina minha né mores",2015
37,"Vaga de emprego. Pra meninas. Maiores do que 1,68 OLHA O BULLYING",2015
38,Momento Bullying Arte alvo: professora italiana quase perde emprego por fotos sensuais fb.me/3GVArDql5,2015
39,Procurar emprego para ficar triste e deprimida. Gente! Isso é bullying! #babilonia,2015
40,procura-se um emprego no qual eu não sofra bullying,2015
41,procura-se um emprego no qual eu não sofra bullying,2015
42,"HUMORISTAS TUCANOS PERDENDO EMPREGO EM MASSA Vai ver as pessoas cansaram do bullying com pobres, mulheres,... fb.me/7j73qFg23",2015
43,Professora perde emprego depois de fazer bullying com aluno no Instagram bullying-ciaatoresdemar.blog…,2015
44,MANDOU MAL! Professora perde emprego após fazer bullying com aluno no Instagram! SAIBA MAIS: ow.ly/KcSB7,2015
45,MANDOU MAL! Professora perde emprego após fazer bullying com aluno no Instagram! SAIBA MAIS: ow.ly/KcG2Q,2015
46,Professora perde emprego depois de fazer bullying com aluno no Instagram | E! Online Brasil fb.me/3WmtsFXeG,2015
47,MANDOU MAL! Professora perde emprego após fazer bullying com aluno no Instagram! SAIBA MAIS: ow.ly/KcG2Q,2015
48,Arianny Celeste reclama de bullying e Ronda responde “Ela não teria um emprego se não fosse os lutadores”   goo.gl/B8U2D7,2015
49,"Acusada de bullying, Ronda detona ring girl do UFC: 'Tem emprego ... - Superesportes dlvr.it/8lNhCD",2015
50,"Acusada de bullying, Ronda detona ring girl do UFC: 'Tem emprego ... - Superesportes dlvr.it/8lNTHL",2015
51,"Acusada de bullying, Ronda detona ring girl do UFC: 'Tem emprego só por causa dos lutadores'  mg.superesportes.com.br/app/…",2015
52,"@rkofgrey queria ir até o 8 ou 10 pq daí dá pra orelha fechar depois, pra quando for atrás de emprego n sofrer bullying ne o mundo ta assim",2015
53,"ja perdi vaga em emprego por causa do tamanho do meu peito, mais alto nível de bullying",2015
54,"Quem aí sofreu bullying no primeiro emprego? Segunda esta pesquisa, 49,5% dos jovens entre 15 e 26 anos sofreram bullying no estágio.",2015
55,@Dan_Quevedo @ThiSartto procurar emprego na nossa área é auto-bullying.,2015
56,"Quando eu acho emprego pra minha área de formação, precisa ser formado já, acho isso bullying.",2015
57,O jogador falar que nunca ganhou título por um clube é auto bullying. No emprego  tu não é promovido por ser incompetente.,2015
58,se eu conseguir bolsa no cursinho ou um emprego p pagar o cursinho eu compro um caderno da 1d mesmo sofrendo um bullying desgraçado,2015
59,"""@NossoPresenteLS: LUAN É MUITO ZOERA QOWODKXKAKAKAKQ NINGUEM REVIDA O BULLYING PRA NAO PERDER O EMPREGO""",2015
