,tweets,ano
0,"@itau e ai Itau, Até quando vcs vão contratar telemarketing que trata o cliente mal, discute e comete assédio descaradamente! Eu estou tentando fazer um acordo com vcs, porém todas que me ligam querem discutir comigo!!! Posso levar esse caso pra o juiz? Ou vamos resolver???",2018
1,"trabalhei por 3 anos com telemarketing, o saldo foi:  t.a.g diagnosticada crises de pânico  incontáveis situações de assédio moral e um desmaio",2018
2,"Eu trabalho como telemarketing tem 3 anos e realmente é uma profissão que enlouquece qualquer um, somado a isso ainda há muito assédio moral e infelizmente as empresas dão 0 apoio psicológico.",2018
3,Telemarketing é foda ;-; Seria bom usarem transformador de voz pra não sofrer esse tipo de assédio.,2018
4,"A @skybrasil chega ao nível de assédio, ligando 3 x ao dia, todos os dias, com telemarketing automático, cada ligação de um número diferente. Jamais assinarei.",2018
5,"Sofri muito assédio no meu segundo emprego. Meu primeiro foi telemarketing e apesar de cansativo, meus chefes eram legais. O segundo foi num banco e era assédio todo dia. O máximo que eu conseguia fazer era ir no banheiro pra chorar. Fiz reclamação formal no RH quando saí",2018
6,#CONSUMIDOR | Você já recebeu ligações de telemarketing que te incomodaram? 📱🗯️  Uma comissão da Câmara aprovou o projeto que cria regras para evitar esse tipo de assédio aos consumidores. Saiba mais:,2018
7,#CONSUMIDOR | Você já recebeu ligações de telemarketing que te incomodaram? 📱🗯️  Uma comissão da Câmara aprovou o projeto que cria regras para evitar esse tipo de assédio aos consumidores. Fique por dentro:,2018
8,"Curioso o #Fantástico fazer uma matéria sobre assédio de telemarketing, sendo que outra empresa do grupo (jornal ""O Globo"") faz exatamente isso.   🤔",2018
9,"Se vc assedia as minas do telemarketing, vc é um FILHO DA PUTA!!!! #machismo #assédio #fdp",2018
10,"Em celular o impacto também é parecido. As pessoas só querem falar por Zap. A classe C, D e E nem sequer atendem mais seus celulares tamanho o assédio do telemarketing.  Isso deixa manca qualquer coleta por telefone. O telemarketing tem que acabar.",2018
11,"A gente nem consegue fazer pesquisa eleitoral direito por telefone no Brasil porque ninguém mais se interessa em ter linhas fixas devido ao grande assédio das empresas com seus exércitos de telemarketing.  Ou seja, a informação politica também foi prejudicada.",2018
12,"O filme nem estreou no Brasil, mas eu já quero fazer trabalho com os jovens - quase todos no telemarketing. É tanto relato de assédio, precaridade e humilhação dessa classe trabalhadora. Eu quero #SorryToBotherYou no Brasil logo.",2018
13,"Trabalho com call center, mas desde o ocorrido tô tentando mudar de área pq no telemarketing as pessoas acham que assédio é normal, tanto sexual quanto moral. E obrigada pelo apoio de coração",2018
14,"O @proconspoficial e a @proteste deveriam agir contra o assédio massivo do Facebook instando as pessoas a ""impulsionar"" posts na própria rede. Isso é como um telemarketing abusivo.",2018
15,Operadora de telemarketing é indenizada por assédio de superior - bit.ly/2u49Ers,2018
16,"Moço, entra no site ou liga para o PROCON do seu estado! Não sei os outros, mas o do Paraná tem até uma página específica pra não receber mais ligação de telemarketing e assédio por parte das empresas (que é o caso de sms de dívida inexistente)",2018
17,MPT4: Empresa de telemarketing firma TAC sobre assédio moral com o MPT,2018
18,Empresa de telemarketing firma TAC sobre assédio moral com o MPT: https://bit.ly/2z94JKq.,2018
19,Serviços de telemarketing deviam ser processados por assédio moral.,2018
20,"O assédio - substantivo - é qualquer pessoa q te encha o saco com algo que não te interessa, mesmo você já tendo rejeitado-a Exemplos: -Telemarketing ativo de algo q não te interessa. -criação de cartão de crédito em lojas -pedintes na rua -religiosos q tentam te converter  +",2018
21,"O sistema de telemarketing no Brasil é brutal, o que os atendentes passam beira a escravidão... assédio moral é diário para equipes baterem metas, buscam ate no banheiro se demorarem... trabalhei com pessoas que eram supervisores de atendimento e os relatos é disso para pior...",2018
22,Muito obrigado. Irei recorrer sim e ajuizar acao autonoma. O assedio do telemarketing tem sido abusivo e lesivo.,2018
23,"O ""depois do não é tudo assédio"" deveria valer também pro telemarketing de vendas. Tá louco velho...",2018
24,Como fazer para o telemarketing do @Itau parar de telefonar todo dia para minha casa oferecendo crédito consignado? Corrupto do INSS avisou da aposentadoria e começou o assédio.,2018
25,"""Não é não"" é uma excelente campanha, mas deveria ser estendida ao assédio dos operadores de telemarketing.",2018
26,"Depois do não é tudo assédio, ouviram?  atendentes de telemarketing que ligam pra mim oferecendo coisas",2018
27,"pessoal, o que vocês fariam se suas colegas de trabalho comentassem com você que estão sofrendo assédio sexual do seu supervisor? hoje presenciei e fiquei sem reação. (trabalho em uma empresa de telemarketing, e na p.a do lado o filho da puta tava esfregando a mão na menina)",2018
28,Não vai demorar muito e até desejar um bom dia a atendente telemarketing vai ser considerado assédio.,2018
