,tweets,ano
0,"5- 525, vila velha, porta retrato quebrado, fka twigs, pedra da cebola, assédio no trabalho (isso foi triste), FILME COM AQUELE RATINHO",2015
1,“Isso é assédio moral!”: um tipo de violência no trabalho | Mais uma Opinião #assédiomoral #assédio maisumaopiniao.com.br/2015/0…,2015
2,Como Evitar o Assédio Moral no local de trabalho? controlesocialdesarandi.com.… @comassarandipr,2015
3,Como Evitar o Assédio Moral no local de trabalho? - controlesocialdesarandi.com.…,2015
4,"Desqualificar funcionários no ambiente de trabalho é assédio moral e pode causar danos como estresse, baixo... fb.me/56fGipe6i",2015
5,@pereirajoaof @SilviaGuedes @goncalosousa porq o assédio só estava tipificado no código de trabalho e assédio de rua n tem nada a ver c CT,2015
6,"@minfiration do trabalho excessivo, assedio e até mesmo daqueles comentários um pouco pesados, tem que saber lidar",2015
7,"Como Evitar o ""assédio moral"" no local de trabalho?? A Agência produziu um conj is.gd/ej1B6q... fb.me/4D4pla9iZ",2015
8,"Como Evitar o ""assédio moral"" no local de trabalho?? A Agência produziu um conj is.gd/ej1B6q... fb.me/7CV8IsV5I",2015
9,"Como Evitar o ""assédio moral"" no local de trabalho?? A Agência produziu um conj is.gd/ej1B6q #trabalhoerenda #trabalhoescravo",2015
10,"Uma vz no trabalho onde eu sofria assedio moral, eu tomei um resfenol e apaguei em cima da mesa de trabalho. NOOOOSSAA",2015
11,@adilsonmsf @Pontifex_pt booling e assédio moral já acontecem nos ambientes de trabalho ... humilhante ..vergonhoso. descaradamente ..comigo,2015
12,@AntonioMFrasson @Pontifex_pt amigo e irmão em Cristo Jesus. ..booling e assédio moral já estão acontecendo nos ambientes de trabalho ..,2015
13,"Campanha do Ministério do Trabalho e Emprego incentiva denúncias contra assédio moral. Toda e qualquer pessoa não merece ter sua dignidade,",2015
14,estou sendo vitima de assédio sexual no meu trabalho O.o,2015
15,"O combate de forma eficaz ao assédio moral no trabalho exige a formação de um coletivo multidisciplinar, envolvendo…https://lnkd.in/eUxKy75",2015
16,"Em Ouricuri, assédio moral no trabalho é crime e dá cadeia?  ouricuriemfoco.com.br/em-our…",2015
17,"Pela primeira vez sofri o famigerado ""assedio no trabalho"" o que não foi nada legal",2015
18,Saiba identificar assédio moral no trabalho e como reagir  https://catracalivre.com.br/geral/carreira-jovem/indicacao/saiba-identificar-assedio-moral-no-trabalho-e-como-reagir/?utm_source=soclminer&utm_medium=soclshare&utm_campaign=soclshare_twitter via @CatracaLivre,2015
