,tweets,ano
0,"eu achei massa abordar assédio moral no trabalho e como foi abordado, mas achei mal trabalhado mesmo, a temporada inteira eu achei beeem mais fraca, entretanto Hang The DJ achei excelente.",2017
1,"Pra mim deixou o rolê Star Trek com cara de tosco, ao mesmo tempo em que pesou com o lance de assédio moral no trabalho.. gostei dos twists e do jeito que a série sempre foi não esperava que ia terminar bem",2017
2,Um total desrespeito a globo não mostrar algo que foi uma das maiores mobilizações de 2017 contra assédio no ambiente de trabalho só pra não querer falar sobre o ator José Mayer. Lamentável e deprimente um total desrespeito a causa! #mexeucomumamexeucomtodas #Retrospectiva2017,2017
3,"Essa questão é muito maior do que a Lava Jato. Não tenho ideia fixa nisso. Minha preocupação está em vários itens que expus em post no meu Blog. Por exemplo: assédio sexual não pode ser indultado por esse decreto, mas tráfico de órgãos humanos e trabalho escravo pode.",2017
4,Mulher transgênero alega ter sido demitida após sofrer assédio no trabalho → bit.ly/2DxsaL9,2017
5,"Adorei o Vídeo, Ph!   Sempre é bom ver a inúmeras interpretações sobre um episódio como esse.  Eu, particularmente, tomei como tema principal os frutos que o assédio faz brotar nas pessoas, em principal ao assédio no trabalho.",2017
6,Gostei de um vídeo @YouTube youtu.be/UJpsYkvd9xA?aSOFRI ASSÉDIO NO TRABALHO - Jean-Luca,2017
7,a claire sofrendo assédio do médico no próprio trabalho que raiva aaaa,2017
8,Gostei de um vídeo @YouTube youtu.be/UJpsYkvd9xA?aSOFRI ASSÉDIO NO TRABALHO - Jean-Luca,2017
9,Assédio sexual no trabalho é tema do Diálogo Brasil https://youtu.be/N6GR57eFcU4 via @YouTube,2017
10,Gostei de um vídeo @YouTube youtu.be/UJpsYkvd9xA?aSOFRI ASSÉDIO NO TRABALHO - Jean-Luca,2017
11,"Ora então uma mulher vai ao meu local de trabalho assediar o meu colega basicamente é toda a gente caga inclusive ele, se fosse um homem a fazer isso a uma gaja já era alarido máximo. Há menos, mas também existe assédio por parte de mulheres",2017
12,Sempre venho aqui reclamar  ~ sei o qto é chato~ mas preciso desabafar o quão ruim e desgastante é sofrer assédio moral no trabalho. Respeito as diferenças políticas e ideológicas e tento trabalhar da melhor maneira possível independente de quem está no poder...,2017
13,"gente indignação com feministo é simples: n é legal ficar pagando de ""cool"" salvador da mulherada, qdo na real centenas de mulheres são demitidas por não aguentarem elas próprias o assédio no local de trabalho caladas e vc vem e n faz menos do q a obrigação e quer ganhar aplauso",2017
14,"Rodrigues, entendo sua indignação. Eu já trabalhei com eventos quando mais nova. Não estamos condenando o trabalho. Estamos condenando as condições de trabalho: assédio de babacas, roupas desconfortáveis e a função de apenas enfeite. Todo mundo trabalha porquê precisa. +",2017
15,Assédio Moral &#038; Bullying no trabalho -  netspeed.com.br/mais/noticia…,2017
16,"Queria muito entender essa história do diretor do clipe de vai malandra, sei que dá trabalho refazer o projeto, mas ela poderia ter refeito. E vocês que adoram dar xilique por conta de assédio em Hollywood nem sequer abriram a boca só por conta da ""representatividade"".",2017
17,aturar assédio no trabalho foi o que realmente acabou com o meu dia.,2017
18,Pesquisa aponta número assustador em relação ao assédio sexual no trabalho. https://goo.gl/eytcio,2017
19,"Primeiro: Ele foi ridiculo com a reporter e ainda mais em um campo de trabalho, foi assedio moral. Segundo: Qual a necessidade de comentar na foto da ex? Ex é ex, ela namora quem ela quiser agr e a Duda castro parece uma retardada discutindo",2017
20,PARABÉNS pelo trabalho de DIVULGAÇÃO de SALVADOR de forma POSITIVA!!! https://fb.me/YjlGa9Ye,2017
21,"Foi esta prática nazista a causadora da morte do Reitor ! A médica Edna Maria Niero notificou o suicidio de #Cancellier como acidente de trabalho, provocado por assédio moral insuportável! Dona Marisa também não suportou tamanho assédio moral #LeiCancellier @MBRAndrea",2017
22,"No caso da lata abstenha-se, a bicha tá rica e a gente assalariado. No caso das piadinhas pra você, pergunta se eles querem receber um processinho de assédio moral no ambiente de trabalho? 😌💅🏻",2017
23,QUE PAÍS MACHISTA É ESSE?  O assédio moral no trabalho é um dos problemas mais sérios… https://www.instagram.com/p/BdLAKE-HII9/,2017
24,"Parece q Jair Ventura obrigará @BotafogoOficial a mais uma ""aventura"" na Justiça do Trabalho por causa do assédio do Santos. Clubes no Brasil n se respeitam e comem uns aos outros, beneficiando, no final das contas, jogadores e empresários. E ainda falta resolver o caso Bruno...",2017
25,".@antonioguterres decidiu montar um grupo de trabalho para lidar com casos de assédio sexual dentro da ONU. Segundo dirigente, recente onda de relatos de abuso no ambiente de trabalho de várias instituições mostra o quão difusa é essa forma de violência.  https://goo.gl/sUoofW",2017
26,"""Com jornadas de trabalho de 12 horas e assédio moral descontrolado, quem trabalhou lá sabe um pouco do que é o inferno""  #apple #iphone #iphonex #trabalho #tecnologia #escravidao Uma visita na “fábrica de suicídios” da Apple na China   https://www.tecmundo.com.br/apple/118036-visita-fabrica-suicidios-apple-na-china.htm via @Tec_Mundo",2017
27,"Eu acho que isso diz respeito ao area trabalhista rsrs, o assedio no trabalho",2017
28,Nunca vi empresário mais miserável do que dono de supermercado. Já trabalhei e sei como é. Sei as condições de trabalho e o assédio que as pessoa passam lá. Infelizmente as pessoas precisam desse trabalho e tem que se submeter a isso.,2017
29,"Como se com outros treinadores fosse diferente.  A diferença é que fazia tempo que o Bahia não conseguia um trabalho com o mínimo de destaque.  Se fosse outro treinador a conseguir o acesso e ser campeão do Nordeste, o assédio seria o mesmo e o desfecho igual.",2017
30,"Além da homofobia, o caso também envolve outro problema: o assédio moral no ambiente de trabalho (via CLAUDIA... https://fb.me/7ymxQsJ4U",2017
31,QUE PAÍS MACHISTA É ESSE?  O assédio moral no trabalho é um dos problemas mais sérios… https://www.instagram.com/p/BdLAKE-HII9/,2017
32,"""A questão sobre assédio é que ele acontece em todos os ambientes – dentro, fora do trabalho e, muitas vezes, até dentro de casa"". @anatsasso  Para entender mais do assunto clique aqui: ow.ly/UD8B30ho0lQ",2017
33,"""Ah, porque você tolera assédio no trabalho? Ela é sua chefe mas não tem esse direito.""  A Vanda é uma mulher negra de 53 anos que hoje é chefe de vários homens. Pensa no tanto de assédio e humilhação que ela já sofreu pra chegar aqui?",2017
34,Isso é considerado assedio no trabalho?,2017
35,Isso se chama assédio moral no trabalho.,2017
36,"No sábado eu sofri um assédio horrivel no trabalho. Um cara começou perguntando ""você que irá me servir hoje?"" E continuou com ""me ajuda a escolher camisinha. Qual você usa, se é que usa?"" E ESTAVA ACHANDO AQUILO NORMAL, nem se importou com minhas reações",2017
37,Assédio e abuso moral no trabalho pode ser por parte de mulher também?,2017
38,"Parceria entre a OIT e o MPT, cartilha traz orientações sobre assédio sexual no ambiente de trabalho e... https://fb.me/DQMxDEOn",2017
39,Precisamos falar sobre assédio sexual no ambiente de trabalho! https://fb.me/3WgsJdeF0,2017
40,"Parceria entre a OIT e o MPT, cartilha traz orientações sobre assédio sexual no ambiente de trabalho e informações detalhadas sobre como identificar e denunciar a conduta, além de explicar as responsabilidades e consequências https://goo.gl/PkdLFJ",2017
41,"X SIPAT Unificada do CRECIPAS, Palestra Assédio Moral no Trabalho, Dra. Margarida Barreto, José… https://www.instagram.com/p/Bcndsa3lbxr/",2017
42,[Ouça] Colunista alerta sobre casos de 'assédio moral' dentro do ambiente de trabalho ► https://goo.gl/gBcizz #CBNribeirao 📻,2017
43,15% das mulheres brasileiras relatram que já sofreram de assédio sexual no trabalho. https://lnkd.in/dFFDsVu,2017
44,Teresa Fragoso: “O assédio sexual no trabalho é uma realidade” twib.in/l/n867nKdpRza5 #expresso,2017
45,Teresa Fragoso: “O assédio sexual no trabalho é uma realidade” expresso.sapo.pt/sociedade/2…,2017
46,"Hoje de manhã a minha mãe e minha tia se juntaram pra falar sobre assédio que elas passaram,muito interessante que todos os homens que cometeram os assédios tinham cargos maiores,principalmente no local de trabalho,escola,igreja,etc.",2017
47,Teresa Fragoso: “O assédio sexual no trabalho é uma realidade” expresso.sapo.pt/sociedade/2…,2017
48,Todo dia eu sou vítima de assédio sexual a caminho do trabalho/casa.,2017
49,"E a revista Vice, tão moderninha, parece que permite o bom e velho assédio sexual em seu ambiente de trabalho.",2017
50,Chicago PD abordará assédio no ambiente de trabalho em um de seus episódios. Irônico em? mixdeseries.com.br/episodio-… | Mix de Séries #ChicagoPD,2017
51,"..vou mais longe..tem que incluir o assédio de pessoas de diferentes e diversas naturezas sexuais por conta do empoderamento e a relação de ""subordinação"" no trabalho...",2017
52,Teresa Fragoso: “O assédio sexual no trabalho é uma realidade” expresso.sapo.pt/sociedade/2…,2017
53,Teresa Fragoso: “O assédio sexual no trabalho é uma realidade” expresso.sapo.pt/sociedade/2…,2017
54,"No ambiente de trabalho, a própria empresa poderia/deveria adotar medidas para punir os casos relatados de assédio?",2017
55,"Minha prima passou pra medicina. O detalhe é q ela smp quis ser médica, fez enfermagem pq na época não passou e n tinha condições de pagar particular. Hj ela com 30 e poucos anos teve coragem de largar um trabalho onde sofria assedio moral e ir atrás do sonho dela. Deu certo",2017
56,"Já saíram alguns temas para roda de conversa evento do janeiro branco em Jaguariúna (21/01) como: -Depressão -Ansiedade -Síndrome do pânico -Psicologia do esporte -Assédio moral no trabalho -Sexualidade -Orientação de carreira Quem não for já sabe, já tem um amigo a menos em 2k18",2017
57,"cabei de por the good doctor em dia e caralho que episódio incrível, eles mostrando o assédio sofrido por mulheres no ambiente de trabalho e como isso muitas vezes afeta na carreira",2017
58,"Vai processar a empresa, vai processar o empresário. A graaande justiça do trabalho vai dar ganho de causa por assédio moral, a justiça comum vai dar dano moral. Os caras vão ter que vender a alma pra pagar a indenização.  PODE APOSTAR!",2017
59,sem falar nos recentes casos de assédio moral por parte dele com as colegas de trabalho. Ranço.,2017
60,"Sempre trabalho DURO, um dia as colegas ainda me acusam de assédio 😂🎤",2017
61,Assédio sexual na ONU obriga Guterres a criar grupo de trabalho dlvr.it/Q7CkxN #Economia #António_Guterres #onu,2017
62,Globo demite William Waack após vazamento do vídeo e José Mayer continua mesmo tendo confessado o assédio dentro do trabalho.,2017
